data,hora,preco_abertura,preco_minimo,preco_maximo,preco_fechamento,volume,retorno,volatilidade,SMA_10,EMA_10,rsi,SMA_20,std_dev,upper_band,lower_band,MACD,Signal_Line,OBV,fechamento_normalizado,volume_normalizado,rsi_padronizado,macd_padronizado
2025-03-06,13:35:00,11.38,11.32,11.38,11.35,294700,-0.0008802816901408,0.0104622722955394,11.377,11.38794329658602,43.74559718972792,11.43,0.0960811060894977,11.622162212178996,11.237837787821004,-0.0556959974156239,-0.0551029956426057,-7598900.0,0.0461538461538459,0.0615265773101173,-0.4945443587047301,-1.5434656247362422
2025-03-06,13:30:00,11.31,11.31,11.39,11.38,253300,0.0026431718061674,0.0104481780746699,11.375,11.386499060843107,47.609590816300496,11.427499999999998,0.0967294109740221,11.620958821948042,11.234041178051957,-0.0528562953359408,-0.0546536555812727,-7345600.0,0.0615384615384613,0.0528832101549125,-0.2000305238348374,-1.4602289275896791
2025-03-06,13:25:00,11.31,11.29,11.32,11.32,155800,-0.0052724077328647,0.0105100671222004,11.372,11.374408322507996,41.110350636664464,11.422,0.0996625886627483,11.621325177325495,11.222674822674504,-0.0548154313665492,-0.054686010738328,-7501400.0,0.0307692307692306,0.0325274541734519,-0.6954030151044339,-1.5176546743309949
2025-03-06,13:20:00,11.33,11.29,11.33,11.31,276700,-0.0008833922261484,0.0101362209662205,11.367,11.362697718415632,40.05329245526075,11.4095,0.0970878603718899,11.60367572074378,11.21532427925622,-0.0565234105202563,-0.0550534906947137,-7778100.0,0.0256410256410255,0.057768591590463,-0.7759720555254312,-1.5677185682045482
2025-03-06,13:15:00,11.36,11.32,11.36,11.33,214300,0.0017683465959328,0.009991400074199,11.364,11.3567526787037,43.41390972895175,11.403,0.0978774744260015,11.598754948852005,11.207245051147998,-0.0556219877999968,-0.0551671901157703,-7563800.0,0.0358974358974357,0.0447409077623282,-0.5198255976228433,-1.5412962718291323
2025-03-06,13:10:00,11.4,11.33,11.41,11.34,233600,0.0008826125330978,0.0098422968209669,11.363,11.35370673712121,45.18366927491532,11.393,0.0932512170091988,11.579502434018396,11.206497565981602,-0.0534841553234386,-0.054830583157304,-7330200.0,0.0410256410256408,0.0487703035617353,-0.384934414807498,-1.4786326157806715
2025-03-06,15:25:00,11.58,11.57,11.59,11.59,427100,0.0220458553791886,0.01021107597232,11.368,11.396669148553716,71.17028512179965,11.406,0.1017427095539579,11.609485419107916,11.202514580892084,-0.0312566893623369,-0.0501158043983105,-6903100.0,0.1692307692307686,0.0891686500480187,1.5957670635086916,-0.8271062230027957
2025-03-06,17:10:00,11.5,11.5,11.54,11.53,251800,-0.0051768766177739,0.0091388464598251,11.386,11.420911121543948,63.06915588667753,11.404,0.0986967711305265,11.601393542261054,11.206606457738946,-0.0182721312519316,-0.0437470697690347,-7154900.0,0.1384615384615379,0.0525700446782746,0.9782984886630478,-0.4465058287746904
2025-03-06,15:35:00,11.54,11.5,11.55,11.53,334400,0.0,0.0091284769430335,11.404,11.440745463081411,63.0691557266687,11.401,0.0935217396624241,11.588043479324847,11.213956520675152,-0.0078908149973173,-0.0365758188146913,-7154900.0,0.1384615384615379,0.0698150235917992,0.9782984764671648,-0.1422110637532661
2025-03-06,16:50:00,11.53,11.51,11.54,11.52,179000,-0.0008673026886383,0.0091284936406129,11.42,11.45515537888479,61.50754080382302,11.398,0.088293768034311,11.574587536068622,11.221412463931378,-0.0004651020913115,-0.0293536754700153,-7333900.0,0.1333333333333328,0.0373710802121174,0.859272089789274,0.075449732665035
2025-03-06,15:40:00,11.53,11.53,11.59,11.59,263900,0.0060763888888888,0.007835559360557,11.444,11.479672582723918,67.92725599004987,11.4105,0.0969250931607659,11.60435018632153,11.216649813678467,0.0109421100383659,-0.021294518368339,-7070000.0,0.1692307692307686,0.05509624618982,1.3485831811083442,0.4098153226745798
2025-03-06,18:00:00,11.53,11.51,11.54,11.53,314800,-0.0051768766177739,0.007891690835603,11.459,11.488823022228658,58.35927751725821,11.416999999999998,0.1004778058762078,11.617955611752414,11.216044388247582,0.0149683633019215,-0.0140419420342869,-7384800.0,0.1384615384615379,0.0657229946970646,0.6193112660110162,0.527831936435462
2025-03-06,17:55:00,11.52,11.51,11.53,11.52,182000,-0.0008673026886383,0.007813602710475,11.479,11.494491563641628,56.81235092168669,11.4255,0.1016948479780364,11.628889695956072,11.222110304043929,0.0171545347955675,-0.007802646668316,-7566800.0,0.1333333333333328,0.0379974111653931,0.5014044245527622,0.5919124946845042
2025-03-06,17:50:00,11.53,11.52,11.54,11.53,181700,0.0008680555555555,0.0078135937413985,11.501,11.500947642979511,58.095121529669285,11.434,0.1030278449843445,11.64005568996869,11.227944310031312,0.0194695747430611,-0.0023482023860406,-7385100.0,0.1384615384615379,0.0379347780700655,0.5991772801851475,0.6597704155454224
2025-03-06,17:45:00,11.53,11.52,11.54,11.54,189400,0.0008673026886383,0.0078114911898881,11.522,11.50804807152869,59.48252532050768,11.443,0.1040799287997465,11.651159857599492,11.234840142400506,0.0218591977817741,0.0024932776475223,-7195700.0,0.143589743589743,0.0395423608501398,0.7049252835314378,0.7298144988987029
2025-03-06,17:40:00,11.53,11.52,11.55,11.53,301500,-0.0008665511265164,0.0078113349397549,11.541,11.512039331250744,57.29561389710978,11.452,0.1033950014062697,11.65879000281254,11.24520999718746,0.022684581099492,0.0065315383379162,-7497200.0,0.1384615384615379,0.0629462608042089,0.5382387586375043,0.7540079457177348
2025-03-06,17:35:00,11.53,11.52,11.54,11.54,287900,0.0008673026886383,0.0068562180764347,11.535999999999998,11.517123089205151,59.03493485816024,11.452,0.1033950014062697,11.65879000281254,11.24520999718746,0.0238704559940057,0.0099993218691341,-7209300.0,0.143589743589743,0.0601068938160257,0.6708099106150334,0.7887680390932224
