abertura,minimo,maximo,fechamento,volume,retorno,volatilidade,SMA_10,EMA_10,MACD,Signal_Line,rsi,OBV,fechamento_lag1,retorno_lag1,volume_lag1,fechamento_lag2,retorno_lag2,volume_lag2,fechamento_lag3,retorno_lag3,volume_lag3,dia_da_semana_entrada,dia_da_semana_previsao,hora_num,minuto,mercado_aberto
0.6281407035175874,0.6102564102564099,0.6000000000000005,0.5959595959595951,0.01770946982274718,0.358095245958182,-0.06478368412626824,0.9417268923545075,0.5982697432228212,0.4120034863199028,0.19081558519621003,0.997093994938491,0.9838645723674626,0.938682816048448,0.5188423147424398,0.34610945084831524,0.9356548069644207,0.46935551177260426,0.08691871037110827,0.9348978046934139,0.38700168599767937,0.06356434704236041,1,2,10,0,1
0.5979899497487429,0.5948717948717936,0.590243902439024,0.5959595959595951,0.04751514001549579,-0.003718972120113259,-0.06478368412626824,0.9421072651198176,0.6015758244781724,0.4940922339806704,0.25808696894743866,0.9970939554614588,0.9838645723674626,0.9394398183194549,0.4692889254225473,0.01770946982274718,0.938682816048448,0.5188423147424398,0.34610945084831524,0.9356548069644207,0.46935551177260426,0.08691871037110827,1,2,10,5,1
0.5979899497487429,0.615384615384615,0.5951219512195127,0.6111111111111107,0.030137722751925115,1.0808490304999254,-0.0956759573438533,0.9424876378851275,0.6071641427684487,0.6436094048288881,0.3438529457223755,1.4598949645082695,0.9862791225023151,0.9394398183194549,0.4528420969586984,0.04751514001549579,0.9394398183194549,0.4692889254225473,0.01770946982274718,0.938682816048448,0.5188423147424398,0.34610945084831524,1,2,10,10,1
0.6130653266331647,0.5999999999999996,0.590243902439024,0.5858585858585856,0.02871464035545436,-1.80697311366812,0.08990843486633258,0.9425637124381896,0.6069308319915754,0.6012488348138311,0.4034141090085463,0.13023323117597757,0.983978585752634,0.9417108251324753,0.5021428236996552,0.030137722751925115,0.9394398183194549,0.4528420969586984,0.04751514001549579,0.9394398183194549,0.4692889254225473,0.01770946982274718,1,2,10,15,1
0.5929648241206023,0.6051282051282048,0.590243902439024,0.6060606060606055,0.06770709801875306,1.4447059848359889,0.18502557904224465,0.9430962343096235,0.610584398312902,0.6824171184194207,0.4684071005769633,0.7769858656785857,0.989403089256012,0.9379258137774412,0.3708723731034924,0.02871464035545436,0.9417108251324753,0.5021428236996552,0.030137722751925115,0.9394398183194549,0.4528420969586984,0.04751514001549579,1,2,10,20,1
0.6180904522613053,0.6307692307692303,0.6341463414634143,0.6363636363636358,0.13226760273864302,2.161926870601458,0.36630683400232017,0.9438569798402435,0.6193403652839597,0.9201928672536807,0.5712094805787314,1.4261645284106657,1.0,0.9409538228614684,0.5186825079197175,0.06770709801875306,0.9379258137774412,0.3708723731034924,0.02871464035545436,0.9417108251324753,0.5021428236996552,0.030137722751925115,1,2,10,25,1
0.633165829145728,0.6358974358974354,0.6292682926829265,0.6262626262626263,0.13979412741331057,-0.7221331120995215,0.36534351739284293,0.9444655762647395,0.6245821097818043,1.0349546992971883,0.6779737240959264,0.9993638273254729,0.9888000851299943,0.9454958364875093,0.5512848996707288,0.13226760273864302,0.9409538228614684,0.5186825079197175,0.06770709801875306,0.9379258137774412,0.3708723731034924,0.02871464035545436,1,2,10,30,1
0.633165829145728,0.6256410256410252,0.614634146341464,0.6212121212121211,0.0701105260661259,-0.3635021560953312,0.33332304151390874,0.9453023963484216,0.6279096955862586,1.0824055766296343,0.7735244352969178,0.7867340307952908,0.9831830256872156,0.9439818319454958,0.4201854639800353,0.13979412741331057,0.9454958364875093,0.5512848996707288,0.13226760273864302,0.9409538228614684,0.5186825079197175,0.06770709801875306,1,2,10,35,1
0.6231155778894468,0.6205128205128201,0.6097560975609762,0.6313131313131306,0.0614929715541641,0.7164248969281968,0.3153908657138093,0.9462152909851657,0.6325544942683772,1.1677050920564498,0.868191827937511,1.041769486972656,0.9881096707420118,0.943224829674489,0.43648759231140644,0.0701105260661259,0.9439818319454958,0.4201854639800353,0.13979412741331057,0.9454958364875093,0.5512848996707288,0.13226760273864302,1,2,10,40,1
0.6281407035175874,0.6256410256410252,0.6097560975609762,0.6060606060606055,0.044574103062789555,-1.801193452958098,0.5010909482348674,0.9464435146443516,0.6315492129030131,1.0690589437230462,0.9228470062169903,0.05818061710417838,0.9845385181553648,0.9447388342165025,0.4855773574645943,0.0614929715541641,0.943224829674489,0.43648759231140644,0.0701105260661259,0.9439818319454958,0.4201854639800353,0.13979412741331057,1,2,10,45,1
0.6130653266331647,0.615384615384615,0.5951219512195127,0.5959595959595951,0.04639248612494663,-0.7256009196939404,0.5258915647280957,0.9464435146443516,0.6288044814892393,0.9185458868007381,0.9344094778591705,-0.25832397617627767,0.9808216817987765,0.9409538228614684,0.3711350965773842,0.044574103062789555,0.9447388342165025,0.4855773574645943,0.0614929715541641,0.943224829674489,0.43648759231140644,0.0701105260661259,1,2,10,50,1
0.6030150753768835,0.5897435897435885,0.5756097560975615,0.5808080808080804,0.06016476131745806,-1.088286974740062,0.5440998439305365,0.9462152909851657,0.6236754494329846,0.6987363142766126,0.8966904858712448,-0.6827158222216841,0.976001449236807,0.9394398183194549,0.42002782938802297,0.04639248612494663,0.9409538228614684,0.3711350965773842,0.044574103062789555,0.9447388342165025,0.4855773574645943,0.0614929715541641,1,2,10,55,1
